編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
145,145,,冠瑨團隊營造有限公司,F營造業(建築工程業),墜落、滾落,1,紀OO,,紀OO住宅新建工程,電梯井,2279,,高雄市政府勞工局勞動檢查處,2023,2023-07-22,否,09
146,146,,中宇環保工程股份有限公司,F營造業(建築工程業),墜落、滾落,1,中宇環保工程股份有限公司,,中宇林園建廠工程-土建工程,高雄市林園區溪洲三路46巷22號,2279,高雄市林園區溪洲三路46巷22號,高雄市政府勞工局勞動檢查處,2023,2023-07-22,是,09
147,147,,李○○(即宜達土木包工業),F營造業(整地、基礎及結構工程業),墜落、滾落,1,游○○,,游○○住宅新建工程(二期),施工架工作臺,2283,宜蘭縣冬山鄉安農三路6巷46號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-07-21,是,01
148,148,,OOO(即志遠工程行),F營造業(其他專門營造業),被夾、被捲,1,,,施工架運送作業,彰化縣社頭鄉站區路一段與高鐵東二路口之志遠工程行料場,2273,社頭鄉站區路一段與高鐵東二路口,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-07-21,是,02
149,149,22273216,安力工業有限公司,C製造業(未分類其他專用機械設備製造業),墜落、滾落,1,福竝工業股份有限公司,22468471,,,,,新北市政府勞動檢查處,2023,2023-07-20,是,05
150,150,73197803,建華窯業股份有限公司,C製造業(黏土建築材料製造業),墜落、滾落,1,,,,臺南市仁德區太子里太子路31巷31號,2278,臺南市仁德區太子里太子路31巷31號,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-07-19,是,03
151,151,53111259,舜德機電股份有限公司,F營造業(機電、電信及電路設備安裝業),感電,1,台灣和暄綠能股份有限公司,83381878,彰濱水面型太陽能發電廠興建工程(04區),ARRY3-48第16行第8列太陽能電池,2273,彰化縣線西鄉崙尾東崙海段51地號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-07-18,是,02
152,152,23790033,易山營造有限公司,F營造業(其他土木工程業),墜落、滾落,1,新北市中和區光復國民小學,87785181,109年度老舊廁所整修工程-紅楓/黃蝶樓,黃蝶樓地上1樓男廁,2267,,新北市政府勞動檢查處,2023,2023-07-17,否,05
153,153,70627218,水硯室內裝修設計工程有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,誠品生活股份有限公司,27952966,誠品裕隆商場地上1樓及地下1樓裝修工程,新北市新店區中興路3段70號,2267,新店區中興路3段70號,新北市政府勞動檢查處,2023,2023-07-16,是,05
154,154,,朱○○(即煒翃工程行),F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,農業部林業及自然保育署臺中分署 (前行政院農業委員會林務局東勢林區管理處),,本處配合組改隔間、電力、大門字體等修繕工程,,2272,,臺中市勞動檢查處,2023,2023-07-16,否,07
